,PIDANH4 rpt 1.sp,PIDANH4 rpt 2.sp,PIDANH4 rpt 3.sp,PIDANH4 rpt 4.sp,PIDANH4 rpt 5.sp,PIDANH4 rpt 6.sp,PIDANH4 rpt 7.sp,PIDANH4 rpt 8.sp,PIDANH4 rpt 9.sp,PIDANH4 rpt 10.sp,PIDANH4 rpt 11.sp,PIDANH4 rpt 12.sp,PIDANH4 rpt 13.sp,PIDANH4 rpt 14.sp,PIDANH4 rpt 15.sp,PIDANH4 rpt 16.sp,PIDANH4 rpt 17.sp,PIDANH4 rpt 18.sp,PIDANH4 rpt 19.sp,PIDANH4 rpt 20.sp,PIDANH4 rpt 21.sp,PIDANH4 rpt 22.sp,PIDANH4 rpt 23.sp,PIDANH4 rpt 24.sp,PIDANH4 rpt 25.sp,PIDANH4 rpt 26.sp,PIDANH4 rpt 27.sp,PIDANH4 rpt 28.sp,PIDANH4 rpt 29.sp,PIDANH4 rpt 30.sp,PIDANH4 rpt 31.sp,PIDANH4 rpt 32.sp,PIDANH4 rpt 33.sp,PIDANH4 rpt 34.sp,PIDANH4 rpt 35.sp,PIDANH4 rpt 36.sp,PIDANH4 rpt 37.sp,PIDANH4 rpt 38.sp,PIDANH4 rpt 39.sp,PIDANH4 rpt 40.sp,PIDANH4 rpt 41.sp,PIDANH4 rpt 42.sp,PIDANH4 rpt 43.sp,PIDANH4 rpt 44.sp,PIDANH4 rpt 45.sp,PIDANH4 rpt 46.sp,PIDANH4 rpt 47.sp,PIDANH4 rpt 48.sp,PIDANH4 rpt 49.sp,PIDANH4 rpt 50.sp,PIDANH4 rpt 51.sp,PIDANH4 rpt 52.sp,PIDANH4 rpt 53.sp,PIDANH4 rpt 54.sp,PIDANH4 rpt 55.sp
Time,15:01:19,15:01:26,15:01:33,15:01:40,15:01:47,15:01:54,15:02:01,15:02:08,15:02:15,15:02:22,15:02:29,15:02:36,15:02:43,15:02:50,15:02:57,15:03:04,15:03:11,15:03:18,15:03:25,15:03:33,15:03:40,15:03:47,15:03:54,15:04:01,15:04:08,15:04:15,15:04:22,15:04:29,15:04:36,15:04:43,15:04:50,15:04:57,15:05:04,15:05:12,15:05:19,15:05:26,15:05:33,15:05:40,15:05:48,15:05:55,15:06:02,15:06:09,15:06:16,15:06:23,15:06:30,15:06:37,15:06:44,15:06:52,15:06:59,15:07:06,15:07:13,15:07:20,15:07:28,15:07:35,15:07:42
Raman shift [1/cm],Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity
3278,945.18622,1071.3,844.31,1121.8,925.89,1003.4,702.35,804.34,759.07,956.84,661.39,716.4,750.8,735.04,669.55,429.06,431.11,590.82,407.08,329.11,461.78,358.57,361.2,374.46,319.44,358.55,310.09,283.47,218.53,267.95,278.42,266.3,258.87,340.81,333.22,223.94,225.67,269.73,212.78,145.13,282.89,374.29,557.63,628.83,596.41,602.99,1024.2,674.78,784.94,834.76,932.93,963.4,798.82,837.12,834.63
3276,889.97346,1087.9,839.6,1075.7,910.18,970.41,751.45,805.66,758.87,980.18,691.98,685.99,793.88,712.2,723.85,440.47,468.29,588.84,404.62,360.29,462.19,347.97,351.38,388.34,347,352.72,319.45,299.8,262.07,248.46,291.3,262.33,277.08,352.07,335.89,273.92,190.08,285.34,218.62,166.9,301.67,394.77,560.42,605.67,576,659.85,1016.9,659.25,794.09,885.44,929.8,952.91,761.22,875.03,803.56
3274,951.2157,1122.3,952.24,1008.7,955.53,1031.1,859.94,866.04,823.06,957.76,774.18,810.46,862.12,818.42,770.57,520.38,494.49,660.32,471.54,418.94,526.3,391.22,406.82,457.12,425.5,393.03,355.81,401.69,378.01,357.51,338.94,337.25,351.03,428.5,383.37,371.24,226.11,346.68,269.22,253.08,378.66,424.93,629.79,681.68,637.65,723.07,1050.8,765.55,815.2,951.16,1026.1,998.66,812.5,919.84,796.39
3272,960.91831,1028.7,951.42,846.69,903.75,911.8,909.85,824.52,765.14,897.84,807.34,859.41,855.79,788.22,756.02,524.72,454.69,597.97,450.27,361.27,490.21,391.13,402.37,453.76,420.45,349.7,314.84,402.8,379.55,315.4,323.51,306.89,341.93,452.96,381.38,358.11,192.23,361.09,227.89,268.8,339.26,417.65,609.39,661.22,591.98,705.97,927.17,813.33,781.51,848.1,920.8,981.34,813.97,891.3,742.31
3270,969.94063,932.14,938.46,797.03,897.08,882.99,989.37,796.4,769.41,819.51,852.26,844.78,836.42,788.24,773.76,582.18,463.75,583.57,441.69,395.55,474.99,422.27,419.47,416.89,383.82,336.2,280.53,409.31,380.63,366.33,349.71,307.75,348.09,492.69,337.68,363.52,181.44,376.6,213.48,276.77,342.96,418.5,559.26,699.95,582.28,685.53,829.21,788.3,795.31,781.56,929.97,938.52,844.9,899.08,718.25
3268,966.76009,880.79,975.71,733.93,929.27,846.31,1053,820.15,771.59,790.43,866.52,821.72,803.68,802.71,762.3,609.92,486.59,528.37,442.44,397.47,494.92,445.06,447.94,434.17,359,379.59,290.88,402.24,392.83,347.96,348.36,345.29,341.43,481.57,305.06,365.6,158.44,372.46,238.26,270.71,313.8,384.32,542.93,682.58,571.93,728.37,764.99,761.03,723.87,712.78,890.02,841.58,807.47,840.59,718.22
3266,1008.6353,829.21,1020.2,705.63,890.88,831.19,1056,880.65,809.06,817.08,926.23,876.16,812.3,803.37,804.01,696.63,521.58,553.07,436.87,439.81,506.29,438.07,447.19,455.35,349.1,379.71,356.98,414.44,385.54,374.68,372.41,362.95,352.84,469.53,332.27,366.6,144.64,381.13,262.54,273.36,347.28,431.79,560.7,672.23,618.35,738.87,752.56,806.7,761.37,668,848.88,832.55,841.98,862.66,761.84
3264,1023.0273,863.59,1109.8,748.08,905.18,852.93,1059.4,901.93,831.69,803.07,935.57,873.67,833.87,765.86,826.83,704.34,587.04,550.65,454.27,485.11,521.19,456.96,462.69,452.42,354.95,431.17,413.93,371.3,380.53,362.43,361.61,410.82,390.86,471.96,319.11,375.74,172.47,404.98,310.28,274.25,381.49,433.93,607.21,650.15,659.9,771.67,749.69,824.98,779.44,661.29,875.64,777.7,785.92,874.29,774.62
